support,itemsets,length
0.10710792305184219,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),1
0.023964786436256928,frozenset({'HAND WARMER UNION JACK'}),1
0.07472013911531356,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.03755026627540485,frozenset({'HOME BUILDING BLOCK WORD'}),1
0.03015976524290838,frozenset({'LOVE BUILDING BLOCK WORD'}),1
0.028855559178350178,frozenset({'DOORMAT NEW ENGLAND'}),1
0.021791109661993262,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),1
0.04771220519508749,frozenset({'JAM MAKING SET WITH JARS'}),1
0.0476578632757309,frozenset({'ALARM CLOCK BAKELIKE RED '}),1
0.04287577437235083,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.03825671122704054,frozenset({'SPACEBOY LUNCH BOX '}),1
0.0333115965655907,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1
0.032333442017172045,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),1
0.028366481904140855,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'}),1
0.027388327355722206,frozenset({'LUNCH BOX I LOVE LONDON'}),1
0.026355830887946963,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '}),1
0.05325508096945984,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",1
0.04760352135637431,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),1
0.04407129659819585,frozenset({'WOODEN FRAME ANTIQUE WHITE '}),1
0.027660036952505164,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),1
0.020269535920008696,frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),1
0.036898163243125746,frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),1
0.027931746549288122,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),1
0.06999239213129008,frozenset({'LUNCH BAG RED RETROSPOT'}),1
0.055917835017932835,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),1
0.04733181175959135,frozenset({'JUMBO BAG PINK POLKADOT'}),1
0.042060645582001954,frozenset({'JUMBO STORAGE BAG SUKI'}),1
0.03635474404955983,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),1
0.03570264101728073,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.035267905662428,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),1
0.03271383545266819,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),1
0.028746875339636997,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),1
0.026736224323443105,frozenset({'STRAWBERRY CHARLOTTE BAG'}),1
0.023149657645908053,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),1
0.04716878600152157,frozenset({'JAM MAKING SET PRINTED'}),1
0.04472339963047495,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '}),1
0.042930116291707426,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),1
0.035593957178567545,frozenset({'GIN + TONIC DIET METAL SIGN'}),1
0.03271383545266819,frozenset({'COOK WITH WINE METAL SIGN '}),1
0.024127812194326703,frozenset({'PAPER CHAIN KIT RETROSPOT'}),1
0.021573741984566894,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'}),1
0.020541245516791654,frozenset({'EDWARDIAN PARASOL NATURAL'}),1
0.02211716117813281,frozenset({'RECYCLING BAG RETROSPOT '}),1
0.05254863601782415,frozenset({'NATURAL SLATE HEART CHALKBOARD '}),1
0.0522225845016846,frozenset({'HEART OF WICKER SMALL'}),1
0.04352787740462993,frozenset({'HEART OF WICKER LARGE'}),1
0.03282251929138137,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'}),1
0.028746875339636997,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'}),1
0.02456254754917944,frozenset({'CREAM HEART CARD HOLDER'}),1
0.023964786436256928,frozenset({'ENAMEL FLOWER JUG CREAM'}),1
0.03249646777524182,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),1
0.08694707097054669,frozenset({'JUMBO BAG RED RETROSPOT'}),1
0.02820345614607108,frozenset({'CHILLI LIGHTS'}),1
0.028149114226714487,frozenset({'HOMEMADE JAM SCENTED CANDLES'}),1
0.022606238452342137,frozenset({'RED DINER WALL CLOCK'}),1
0.021247690468427345,frozenset({'IVORY DINER WALL CLOCK'}),1
0.03977828496902511,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '}),1
0.0378763177915444,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),1
0.028964243017063362,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),1
0.02238887077491577,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'}),1
0.021899793500706446,frozenset({'SMALL POPCORN HOLDER'}),1
