antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ROSES REGENCY TEACUP AND SAUCER , GREEN REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.029398978371916094,0.030214107162264973,0.021193348549070755,0.7208872458410353,23.85929334166678,1.0,0.02030508466608057,3.4745309140742706,0.9871075642533007,0.5516265912305517,0.7121913648978332,0.7111630473809493
PINK REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER , GREEN REGENCY TEACUP AND SAUCER",0.030214107162264973,0.029398978371916094,0.021193348549070755,0.7014388489208633,23.859293341666778,1.0,0.02030508466608057,3.2509287230434616,0.987937252332635,0.5516265912305517,0.6923955936309124,0.7111630473809493
"ROSES REGENCY TEACUP AND SAUCER , PINK REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.02369307683947397,0.03755026627540485,0.021193348549070755,0.8944954128440368,23.821280155073755,1.0,0.02030366720486488,9.122349650085301,0.9812700342812777,0.5291723202170964,0.8903791195955036,0.7294474169864178
GREEN REGENCY TEACUP AND SAUCER,"ROSES REGENCY TEACUP AND SAUCER , PINK REGENCY TEACUP AND SAUCER",0.03755026627540485,0.02369307683947397,0.021193348549070755,0.5643994211287988,23.82128015507375,1.0,0.02030366720486488,2.2412893152954267,0.9953981952401013,0.5291723202170964,0.5538282393193897,0.7294474169864178
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.030214107162264973,0.03755026627540485,0.02499728290403217,0.8273381294964028,22.032816583202322,1.0,0.023862735134815505,5.574188041154946,0.9843545502828548,0.5844980940279543,0.8206016746085938,0.7465200054139033
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03755026627540485,0.030214107162264973,0.02499728290403217,0.6657018813314037,22.032816583202322,1.0,0.023862735134815505,2.9009612638566007,0.9918576762660396,0.5844980940279543,0.6552866760204242,0.7465200054139033
ROSES REGENCY TEACUP AND SAUCER ,"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",0.04254972285621128,0.02499728290403217,0.021193348549070755,0.4980842911877395,19.925537231384308,1.0,0.020129721089345878,1.9425626653591421,0.9920234711653068,0.45720984759671757,0.48521609221027656,0.6729551890721306
"PINK REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,0.02499728290403217,0.04254972285621128,0.021193348549070755,0.8478260869565217,19.925537231384308,1.0,0.020129721089345878,6.291816106944897,0.9741646158990935,0.45720984759671757,0.8410633777271078,0.6729551890721306
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.030214107162264973,0.04254972285621128,0.02369307683947397,0.7841726618705035,18.429559800435513,1.0,0.022407474953371725,4.436186284099552,0.9752042705841105,0.48283499446290146,0.774581152377604,0.6705026783171164
ROSES REGENCY TEACUP AND SAUCER ,PINK REGENCY TEACUP AND SAUCER,0.04254972285621128,0.030214107162264973,0.02369307683947397,0.5568326947637292,18.429559800435513,1.0,0.022407474953371725,2.1883064959422085,0.9877686255090548,0.48283499446290146,0.5430256219344471,0.6705026783171164
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.03755026627540485,0.04254972285621128,0.029398978371916094,0.7829232995658465,18.400197392861696,1.0,0.02780122494872068,4.410654276709051,0.9825476841099723,0.5798499464094319,0.7732762675867363,0.7369278055939066
ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,0.04254972285621128,0.03755026627540485,0.029398978371916094,0.6909323116219668,18.400197392861696,1.0,0.02780122494872068,3.114041907051066,0.9876781902078279,0.5798499464094319,0.6788739426609132,0.7369278055939066
SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,0.03825671122704054,0.03347462232366047,0.02304097380719487,0.6022727272727273,17.99192001180638,1.0,0.021760344847524347,2.4301209495862253,0.9819870916018653,0.47321428571428575,0.5884978481543195,0.6452922077922079
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,0.03347462232366047,0.03825671122704054,0.02304097380719487,0.6883116883116883,17.991920011806375,1.0,0.021760344847524347,3.0855930514799117,0.9771285025958514,0.47321428571428575,0.6759131929207643,0.6452922077922079
GARDENERS KNEELING PAD KEEP CALM ,GARDENERS KNEELING PAD CUP OF TEA ,0.04108249103358331,0.03450711879143571,0.025160308662101945,0.6124338624338624,17.748043994500687,1.0,0.023742670263757995,2.491169345370903,0.9840844014355764,0.4989224137931034,0.5985820868187053,0.6707838603507895
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,0.03450711879143571,0.04108249103358331,0.025160308662101945,0.7291338582677166,17.748043994500687,1.0,0.023742670263757995,3.5401896406608997,0.9773824138983611,0.4989224137931034,0.7175292564797983,0.6707838603507895
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.04287577437235083,0.0476578632757309,0.028801217258993587,0.6717363751584284,14.094974658683467,1.0,0.026757849466115004,2.901150370175477,0.9706709988012713,0.46654929577464793,0.655309145544388,0.6380346642040717
