CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,RFM_Score,Segment,Cluster
12346,326,1,201.60000000000002,1,1,1,3,111,At-Risk,0
12347,2,7,4262.0,5,5,5,15,555,VIP,1
12348,75,4,1437.24,2,4,4,10,244,Loyal,1
12349,19,1,1457.55,4,1,4,9,414,Potential,0
12350,310,1,294.4,1,1,2,4,112,At-Risk,0
12352,36,7,1385.74,3,5,4,12,354,Loyal,1
12353,204,1,89.0,1,1,1,3,111,At-Risk,0
12354,232,1,1079.4,1,1,4,6,114,At-Risk,0
12355,214,1,459.4,1,1,2,4,112,At-Risk,0
12356,23,3,2487.43,4,3,5,12,435,Loyal,1
12357,33,1,6171.67,4,1,5,10,415,Loyal,1
12358,2,2,928.0600000000001,5,2,4,11,524,Loyal,1
12359,58,4,6133.2300000000005,3,4,5,12,345,Loyal,1
12360,52,3,2302.06,3,3,5,11,335,Loyal,1
12361,287,1,174.9,1,1,1,3,111,At-Risk,0
12362,3,10,4737.23,5,5,5,15,555,VIP,1
12363,110,2,552.0,2,2,3,7,223,Potential,0
12364,8,4,1208.1,5,4,4,13,544,VIP,1
12365,291,1,320.69,1,1,2,4,112,At-Risk,0
12367,4,1,150.9,5,1,1,7,511,Potential,0
12370,51,4,3421.94,3,4,5,12,345,Loyal,1
12371,60,1,1527.96,3,1,4,8,314,Potential,0
12372,72,3,1196.04,3,3,4,10,334,Loyal,0
12373,311,1,324.6,1,1,2,4,112,At-Risk,0
12374,25,1,622.93,4,1,3,8,413,Potential,0
12375,11,2,377.5,5,2,2,9,522,Potential,0
12377,315,2,1548.12,1,2,4,7,124,Potential,0
12378,130,1,4008.62,2,1,5,8,215,Potential,0
12379,82,2,777.24,2,2,3,7,223,Potential,0
12380,22,4,2427.81,4,4,5,13,445,VIP,1
12381,5,3,1474.81,5,3,4,12,534,Loyal,1
12383,185,5,1628.56,1,4,4,9,144,Potential,0
12384,29,2,425.27000000000004,4,2,2,8,422,Potential,0
12386,338,2,401.9,1,2,2,5,122,At-Risk,0
12388,16,6,2780.66,4,5,5,14,455,VIP,1
12390,80,1,504.84000000000003,2,1,3,6,213,At-Risk,0
12391,22,1,439.66,4,1,2,7,412,Potential,0
12393,72,4,1582.6000000000001,2,4,4,10,244,Loyal,1
12394,64,2,1015.84,3,2,4,9,324,Potential,0
12395,19,12,2682.63,4,5,5,14,455,VIP,1
12397,36,2,2214.9,3,2,5,10,325,Loyal,1
12398,46,1,1435.66,3,1,4,8,314,Potential,0
12399,119,4,1033.65,2,4,4,10,244,Loyal,0
12401,303,1,69.3,1,1,1,3,111,At-Risk,0
12402,323,1,195.6,1,1,1,3,111,At-Risk,0
12403,50,1,391.7,3,1,2,6,312,At-Risk,0
12405,149,1,1390.39,2,1,4,7,214,Potential,0
12406,22,2,3415.3,4,2,5,11,425,Loyal,1
12407,50,5,1507.1200000000001,3,4,4,11,344,Loyal,1
12408,33,5,2618.55,4,4,5,13,445,VIP,1
12409,79,3,10694.57,2,3,5,10,235,Loyal,1
12410,309,2,533.33,1,2,3,6,123,At-Risk,0
12412,75,3,1142.88,2,3,4,9,234,Potential,0
12413,67,3,686.1,3,3,3,9,333,Potential,0
12414,217,3,442.41,1,3,2,6,132,At-Risk,0
12415,24,20,88246.57,4,5,5,14,455,VIP,1
12417,3,9,3226.1,5,5,5,15,555,VIP,1
12418,113,1,668.58,2,1,3,6,213,At-Risk,0
12420,64,1,600.39,3,1,3,7,313,Potential,0
12421,16,4,639.04,4,4,3,11,443,Loyal,1
12422,96,3,683.5600000000001,2,3,3,8,233,Potential,0
12423,1,8,1634.31,5,5,4,14,554,VIP,1
12424,163,2,1656.5600000000002,2,2,4,8,224,Potential,0
12425,78,1,777.2,2,1,3,6,213,At-Risk,0
12426,195,1,510.73,1,1,3,5,113,At-Risk,0
12427,22,3,699.8,4,3,3,10,433,Loyal,1
12428,26,8,6405.26,4,5,5,14,455,VIP,1
12429,9,4,3388.4,5,4,5,14,545,VIP,1
12430,43,1,216.4,3,1,1,5,311,At-Risk,0
12431,36,15,5691.91,3,5,5,13,355,VIP,1
12432,43,4,4287.32,3,4,5,12,345,Loyal,1
12433,1,7,13372.03,5,5,5,15,555,VIP,1
12434,85,2,806.14,2,2,3,7,223,Potential,0
12435,80,2,5656.540000000001,2,2,5,9,225,Potential,1
12436,100,1,429.01000000000005,2,1,2,5,212,At-Risk,0
12437,2,18,4447.41,5,5,5,15,555,VIP,1
12438,14,2,2466.85,5,2,5,12,525,Loyal,1
12441,367,1,155.55,1,1,1,3,111,At-Risk,0
